Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0004b74505666241d48514f5323b4ab36ffb0fd291ed3db3c79c26a5a1fa2c05,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.706301,52.590120,On or near JAMES WATT CLOSE,E01026581,Great Yarmouth 008A,Investigation complete; no suspect identified
6d4ec634c2caa53496db7a609aab23342ea87b60fb413b421a41b95294494eb3,2013-12,Norfolk Constabulary,Norfolk Constabulary,0.415163,52.768817,On or near BRYGGEN ROAD,E01026690,King's Lynn and West Norfolk 007D,Investigation complete; no suspect identified
3567c78576f1fa5727eb0d7ee17a2314b9e2a234855d9a5cb2c868e6a6076c4a,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.092350,52.688859,On or near LEY'S LANE,E01026481,Breckland 006C,Investigation complete; no suspect identified
3df997186e10cbd0de716ebf4cc8ee6c0f8faa864f2afb39bde33a68b2c48671,2013-12,Norfolk Constabulary,Norfolk Constabulary,0.854857,52.834439,On or near JUBILEE AVENUE,E01026747,North Norfolk 011C,Investigation complete; no suspect identified
5bb0d3d8d14c16c7232ebbd7c1e616be72ca59c169bfdc9b5fbb65c583dc65a4,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.292432,52.931182,On or near CENTRAL ROAD,E01026736,North Norfolk 003C,Investigation complete; no suspect identified
38737c7bbeff40d6437d770b593470859c509e1b4c040092db267ddf9578c9a4,2013-12,Norfolk Constabulary,Norfolk Constabulary,0.384174,52.746749,On or near CLENCHWARTON ROAD,E01026705,King's Lynn and West Norfolk 011E,Investigation complete; no suspect identified
34ff490d0f4d60e44c28ff57a254d513451acee4441efafddb3c70d8582db8ed,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.240682,52.793498,On or near JOHN O'GAUNT CLOSE,E01026502,Broadland 001D,Investigation complete; no suspect identified
a2bd0d1075d9969acc6bb39399e33fe94fc0eb957180d6441d476b89dcc7fb81,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.728803,52.603427,On or near ORFORD CLOSE,E01026625,Great Yarmouth 006D,Investigation complete; no suspect identified
20975c3740e40a6ed30d2e618471d90eb8341396177a2c37c366684eb0508adc,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.278909,52.645241,On or near BERNERS CLOSE,E01026829,Norwich 002B,Investigation complete; no suspect identified
a944583e1491c85b08a0fbf4a85f80aa820665298dbe44dde89901f83ba0301d,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.260920,52.615708,On or near UNTHANK ROAD,E01026810,Norwich 012A,Investigation complete; no suspect identified
2fdfe794c740fecfd548475cd9c3b5b2376cc3506f7cdd300caf45fea622c641,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.545131,52.639294,On or near MILL CRESCENT,E01026498,Broadland 018B,Investigation complete; no suspect identified
e6bcbde0e77726af1f004657a184d67a763289d2681dc74f28ee07b934698c13,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.126500,52.368195,On or near TRAFALGAR WAY,E01033541,South Norfolk 015H,Investigation complete; no suspect identified
9b34c821ac7f52979c277ea31c6a0fcabb48611f42018b254f6730be2e038028,2013-12,Norfolk Constabulary,Norfolk Constabulary,0.400292,52.759085,On or near BIRCHWOOD STREET,E01026689,King's Lynn and West Norfolk 007C,Investigation complete; no suspect identified
82642daa822984e87a2b0ab91bf0e58754678d389c845a7c86a60f07970149c4,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.284106,52.628765,On or near UNTHANK ROAD,E01026835,Norwich 009A,Investigation complete; no suspect identified
7176d4fb83ee13459e6e470e126c537c63b9e11b3b17388d178685189ae71c0b,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.294868,52.630561,On or near ST ANDREWS STREET,E01026823,Norwich 007B,Investigation complete; no suspect identified
b76c44fd357d5fd9fd2f46ff27c2f78bc28742782cc274fd3b1be4576b243950,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.305389,52.623073,On or near WHERRY ROAD,E01033441,Norwich 014D,Investigation complete; no suspect identified
0583222a86b78b866566f5b6059ca4e776c44a314e4cbc92b4f39ea91841b3a2,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.729779,52.604835,On or near DENE SIDE,E01026624,Great Yarmouth 006C,Investigation complete; no suspect identified
7ef4d4e10bcb2919c0ba02dfbc0e447872199dcf0c5a1ac3bf1e59efb9049326,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.448724,52.473359,On or near TUNNEYS LANE,E01026893,South Norfolk 012B,Investigation complete; no suspect identified
8aff660fad1b2204ca89fa70450b3352fe8b679e05bc0cc105bf6bb69b1b9292,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.287517,52.632069,On or near ST SWITHINS ROAD,E01026822,Norwich 007A,Investigation complete; no suspect identified
e15d24f879cb773b47dd2e15dadfa7dd740adac50452b593daa10a7e43662a9a,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.294028,52.638850,On or near MAGPIE ROAD,E01026846,Norwich 003F,Investigation complete; no suspect identified
2d82d38aa45dbd3ae825dc5c3b10eeadbfa8f64d91b36586cd9e64ae2078cd02,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.298566,52.629613,On or near Nightclub,E01033438,Norwich 014A,Investigation complete; no suspect identified
