Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c7c75e87c0bb04e07d5f570e3efa862400ecba9ac656cab9f90d29712efc025e,2013-12,Warwickshire Police,Warwickshire Police,-1.391899,52.259057,On or near MAYFIELD MEWS,E01031221,Stratford-on-Avon 004C,Investigation complete; no suspect identified
a1b52840c2d254de3b61aaa5d7569134b955df16f0db07cbaaf3abd0ddc76b37,2013-12,Warwickshire Police,Warwickshire Police,-1.714949,52.188579,On or near Petrol Station,E01031235,Stratford-on-Avon 011D,Investigation complete; no suspect identified
e9d94a16a939b2c449946fcad477c66bf37f7238a80261193073cbddec26512e,2013-12,Warwickshire Police,Warwickshire Police,,,No location,,,Investigation complete; no suspect identified
0dff1f6ec2275fc65ed96f5e3873b583aded9084842f7eb1b955e06cc8572659,2013-12,Warwickshire Police,Warwickshire Police,-1.599132,52.386327,On or near Sports/Recreation Area,E01031254,Warwick 001A,Investigation complete; no suspect identified
79ec6c9ccd44fdb7c9ecf4fadb9b81b55b577dd2971c7d3c40fc440b3c54a2c4,2013-12,Warwickshire Police,Warwickshire Police,-1.387726,52.252526,On or near BULL STREET,E01031222,Stratford-on-Avon 004D,Investigation complete; no suspect identified
339ed047c41a1b0b123355994b7384c3c49acd296854a2da635efee9b11701c0,2013-12,Warwickshire Police,Warwickshire Police,-1.580780,52.283936,On or near ST JOHNS,E01031323,Warwick 011C,Investigation complete; no suspect identified
62b13b4b52d5d06e148304f785a04fc19266f4198e56287e7459625cdbfbaef8,2013-12,Warwickshire Police,Warwickshire Police,-1.690833,52.109762,On or near STRATFORD ROAD,E01031246,Stratford-on-Avon 014D,Investigation complete; no suspect identified
b61312f45cefdcc4157f618337a20290167f72207036a346b6b8cebd3efcda7a,2013-12,Warwickshire Police,Warwickshire Police,-1.716469,52.200441,On or near CORDELIA CLOSE,E01031231,Stratford-on-Avon 009D,Investigation complete; no suspect identified
3dd7725bad3dc0bad2abdd95ba7ea28f132bca8032eb9ccad1e77547c8a229cf,2013-12,Warwickshire Police,Warwickshire Police,-1.532552,52.283863,On or near CROWN TERRACE,E01031266,Warwick 013F,Investigation complete; no suspect identified
33ccee416c0cfc866d2b0a24378af5080b146e4b666fda0bc79834b0ae70dd49,2013-12,Warwickshire Police,Warwickshire Police,-1.533216,52.286221,On or near VICTORIA TERRACE,E01031291,Warwick 009B,Investigation complete; no suspect identified
