Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d4cb81b7ff27dac8aa96604e32fccdf59511a78d97a5719d5b6dba35a37b8c3e,2012-05,Northamptonshire Police,Northamptonshire Police,-1.165299,52.266420,On or near HAWTHORN DRIVE,E01026987,Daventry 006A,Investigation complete; no suspect identified
1f591c70edbb3243b6fa683f8e65120561c0d2b6c0b0514b3a6622f8071662d7,2012-05,Northamptonshire Police,Northamptonshire Police,-0.608937,52.292034,On or near SARTORIS ROAD,E01027073,East Northamptonshire 008F,Investigation complete; no suspect identified
44bf914f40bad3956626ec27b244ac7f009bdb0cbec90e64f3dc04f3a46e0806,2012-05,Northamptonshire Police,Northamptonshire Police,-0.720670,52.407866,On or near PARK ROAD,E01027106,Kettering 006B,Investigation complete; no suspect identified
cd7d17cffca9b7c9fbb4e794847d2640ad9154392f61d1e88e8b46fc7341c1f1,2012-05,Northamptonshire Police,Northamptonshire Police,-0.722901,52.400356,On or near VICTORIA STREET,E01027110,Kettering 007B,Investigation complete; no suspect identified
0a8dd78cb8ec9c1373a0b31f2319750378fdac5aaf2fa9937a8ad07e7df4b556,2012-05,Northamptonshire Police,Northamptonshire Police,-0.795897,52.421836,On or near CORONATION AVENUE,E01027126,Kettering 003D,Investigation complete; no suspect identified
eb971dff0de850e510cd6090760a42ff9e9b194a29949e8d2f1cd9bb8c4ea2a8,2012-05,Northamptonshire Police,Northamptonshire Police,-0.873129,52.249771,On or near ASHBURNHAM ROAD,E01027136,Northampton 013A,Investigation complete; no suspect identified
cc2efe99c7cd59b71ab9eef79ea0494dfac10b86393175fc506b4802553e7cfc,2012-05,Northamptonshire Police,Northamptonshire Police,-0.860752,52.258894,On or near ROSGILL PLACE,E01027173,Northampton 012D,Investigation complete; no suspect identified
f7ff765eaaef8ed2eb6d047ee4ca41c204383800eb6f1b58b7decab31b7d79f5,2012-05,Northamptonshire Police,Northamptonshire Police,-0.952717,52.249640,On or near BRAMHALL RISE,E01027215,Northampton 019C,Investigation complete; no suspect identified
b6f392ef58ad36d1342446daedcfe28296764073681a36798e0fc34ccab09188,2012-05,Northamptonshire Police,Northamptonshire Police,-0.708494,52.313304,On or near CHURCHILL AVENUE,E01027345,Wellingborough 003C,Investigation complete; no suspect identified
bf5bcf86c999565febe90c14441e8751cb864d2fad47468591eebee3b46d6e4f,2012-05,Northamptonshire Police,Northamptonshire Police,-0.690125,52.306916,On or near LISTER ROAD,E01027352,Wellingborough 006D,Investigation complete; no suspect identified
