Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d7a87b96e3c48d8bf8057ceeda7f8ae5ce6d217ccfb943ca266d790f76643b91,2013-05,Dorset Police,Dorset Police,-1.973688,50.611062,On or near HENDRIE CLOSE,E01020478,Purbeck 006A,Investigation complete; no suspect identified
f5fc8e95bc66df2271712d9b891c30f1f4c8dcd079fa973d3dbfb20dec4d8136,2013-05,Dorset Police,Dorset Police,-2.225127,50.678940,On or near MEADOW LANE,E01020492,Purbeck 004D,Investigation complete; no suspect identified
f4905f7e4cc9ae9d6bae467addcc36acc9f14de855acb7359a4fd7a9cdec8e2d,2013-05,Dorset Police,Dorset Police,-2.385624,50.676964,On or near BEECH CLOSE,E01020505,West Dorset 011A,Investigation complete; no suspect identified
a9e57e0a56fd42516828a7bd83c89d642bfa2a9de8054f05c75f138b36f2ddda,2013-05,Dorset Police,Dorset Police,-2.480707,50.853037,On or near A352,E01020509,West Dorset 004A,Investigation complete; no suspect identified
d0335506a55aecf90b97e5109cb9d2e8f24e97949ff7fd83b854ef1ad23515b3,2013-05,Dorset Police,Dorset Police,-2.453691,50.623301,On or near CRANFORD AVENUE,E01020560,Weymouth and Portland 002D,Investigation complete; no suspect identified
00dbbd207e21930cd94077a42111f1cb8ffb29bba642527a9efe5e9734c15c3f,2013-05,Dorset Police,Dorset Police,-2.463777,50.615348,On or near MINTON PLACE,E01020574,Weymouth and Portland 003A,Investigation complete; no suspect identified
431d95261a30c0ae7340de8950c7960f695aeb4756abe0f468c0763038b4bd8b,2013-05,Dorset Police,Dorset Police,-1.823688,50.907652,On or near Sports/Recreation Area,E01020373,East Dorset 001A,Investigation complete; no suspect identified
7c5d49ef01532e9fd00513f4124467c64834ac8731f372a5bc3b4d3ec7ac436b,2013-05,Dorset Police,Dorset Police,-2.029608,50.760223,On or near KILN CLOSE,E01020388,East Dorset 012G,Investigation complete; no suspect identified
31355c5317a349064b4df2731218c2cb4a3d05e99f5be941675613412a4ae3a8,2013-05,Dorset Police,Dorset Police,-2.089897,50.814579,On or near CHURCH STREET,E01020410,East Dorset 005D,Investigation complete; no suspect identified
99a5a4726eb997c1304602edd397494f9c47a30c65eb6ddd0a17854cab6e645b,2013-05,Dorset Police,Dorset Police,-2.347331,51.019663,On or near Sports/Recreation Area,E01020440,North Dorset 002A,Investigation complete; no suspect identified
13c39cf345de04c4b257029820aa0d08c55f389524b351b6768e6208960affe0,2013-05,Dorset Police,Dorset Police,-2.197860,51.005759,On or near CHURCH LANE,E01020454,North Dorset 003A,Investigation complete; no suspect identified
0e357e828e93214564714947a1fa2c7a65a213ffe7b91882060a209a7f740ea7,2013-05,Dorset Police,Dorset Police,-2.761586,50.729744,On or near Sports/Recreation Area,E01020502,West Dorset 008A,Investigation complete; no suspect identified
147b5b18fff9f54e209996f5d6d68a11d5e5fb017bb846aadc58a954caae2393,2013-05,Dorset Police,Dorset Police,-2.781988,50.721129,On or near MOUNT LANE,E01020517,West Dorset 007B,Investigation complete; no suspect identified
d5f17a3bff0d1ff03552401bc5e7034ae750078e28f4e258ebaaae3912a0ea4e,2013-05,Dorset Police,Dorset Police,-2.454849,50.612955,On or near GLOUCESTER STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
6145fccce541f047a0cea4293f80ce9fa4d063d33b361d6865bed4b8818249f4,2013-05,Dorset Police,Dorset Police,-2.462881,50.610477,On or near NEWSTEAD ROAD,E01020573,Weymouth and Portland 005B,Investigation complete; no suspect identified
07092221f40b43252d354c7aafca31878d5de318b8a3fe2a37ac5fdd81caa978,2013-05,Dorset Police,Dorset Police,-2.470073,50.597543,On or near THORNLOW CLOSE,E01020583,Weymouth and Portland 006A,Investigation complete; no suspect identified
6734fefe829b3e1ad4972db5e81ea806359a2ee1e7e5a634d9d1f89bcb960daa,2013-05,Dorset Police,Dorset Police,-1.719053,50.748936,On or near BAY TREE WAY,E01020371,Christchurch 004C,Investigation complete; no suspect identified
cbbb5d9eec795f00b6710caf785fc06fbfe4fe19dc9e4c58ecf381ed42958994,2013-05,Dorset Police,Dorset Police,-2.385624,50.676964,On or near BEECH CLOSE,E01020505,West Dorset 011A,Investigation complete; no suspect identified
7fae43c5efec23552a136b490f41f2dbed70d956161f0e46e52f8426ff00e7bf,2013-05,Dorset Police,Dorset Police,-1.909647,50.879379,On or near Park/Open Space,E01020389,East Dorset 001C,Investigation complete; no suspect identified
6515f6b4360c841a03a8cd53c068ced29ce17f41e1a4ff113811a18c83549afb,2013-05,Dorset Police,Dorset Police,-2.020978,50.770108,On or near HENBURY VIEW ROAD,E01020382,East Dorset 012A,Investigation complete; no suspect identified
0c8ea4d1f0b7b5df8d583dafd4c53ce912ca638acc6426fc5e6c91b13fb5832e,2013-05,Dorset Police,Dorset Police,-2.447975,50.710436,On or near ALICE ROAD,E01020527,West Dorset 009D,Investigation complete; no suspect identified
